play_name,character,act,scene,sentence,text
The Jew of Malta,OFFICER,ACT I.,none,1,"LASTLY, HE THAT DENIES THIS, SHALL ABSOLUTELY"
The Jew of Malta,THREE JEWS,ACT I.,none,1,"O my lord, we will give half!"
The Jew of Malta,BARABAS,ACT I.,none,1,"O earth-mettled villains, and no Hebrews born!"
The Jew of Malta,BARABAS,ACT I.,none,2,And will you basely thus submit yourselves
The Jew of Malta,BARABAS,ACT I.,none,3,To leave your goods to their arbitrement?
The Jew of Malta,FERNEZE,ACT I.,none,1,"Why, Barabas, wilt thou be christened?"
The Jew of Malta,BARABAS,ACT I.,none,1,"No, governor, I will be no convertite."
The Jew of Malta,FERNEZE,ACT I.,none,1,Then pay thy half.
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, know you what you did by this device?"
The Jew of Malta,BARABAS,ACT I.,none,2,Half of my substance is a city's wealth.
The Jew of Malta,BARABAS,ACT I.,none,3,"Governor, it was not got so easily;"
The Jew of Malta,BARABAS,ACT I.,none,4,Nor will I part so slightly therewithal.
The Jew of Malta,FERNEZE,ACT I.,none,1,"Sir, half is the penalty of our decree;"
The Jew of Malta,FERNEZE,ACT I.,none,2,"Either pay that, or we will seize on all."
The Jew of Malta,BARABAS,ACT I.,none,1,Corpo di Dio! stay:  you shall have half;
The Jew of Malta,BARABAS,ACT I.,none,2,Let me be us'd but as my brethren are.
The Jew of Malta,FERNEZE,ACT I.,none,1,"No, Jew, thou hast denied the articles,"
The Jew of Malta,FERNEZE,ACT I.,none,2,And now it cannot be recall'd.
The Jew of Malta,BARABAS,ACT I.,none,1,"Will you, then, steal my goods?"
The Jew of Malta,BARABAS,ACT I.,none,2,Is theft the ground of your religion?
The Jew of Malta,FERNEZE,ACT I.,none,1,"No, Jew; we take particularly thine,"
The Jew of Malta,FERNEZE,ACT I.,none,2,To save the ruin of a multitude:
The Jew of Malta,FERNEZE,ACT I.,none,3,"And better one want for a common good,"
The Jew of Malta,FERNEZE,ACT I.,none,4,Than many perish for a private man:
The Jew of Malta,FERNEZE,ACT I.,none,5,"Yet, Barabas, we will not banish thee,"
